,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7137,7137,F36553,6406.0,E,2.0,2021-10-29 17:00:30.607,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1095.88,0.0,0.0
7138,7138,F36554,5926.0,E,2.0,2021-10-29 17:02:31.033,2021-10-29,2021-10-29 00:00:00,2021-10-29,,3266.2100000000005,0.0,0.0
7139,7139,F36555,5926.0,E,2.0,2021-10-29 17:04:39.957,2021-10-29,2021-10-29 00:00:00,2021-10-29,,402.00000000000006,0.0,0.0
7140,7140,F36556,5926.0,E,2.0,2021-10-29 17:06:34.697,2021-10-29,2021-10-15 00:00:00,2021-10-29,,1128.0,0.0,0.0
7141,7141,F36557,8481.0,E,2.0,2021-10-29 17:38:39.230,2021-10-29,2021-10-22 00:00:00,2021-10-29,,862.5000000000001,0.0,0.0
7142,7142,F36558,1207.0,E,2.0,2021-10-29 18:01:30.930,2021-10-29,2021-10-29 00:00:00,2021-11-13,,2815.3790000000004,0.0,0.0
7143,7143,F36559,5926.0,E,2.0,2021-10-29 18:03:27.903,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1293.103,0.0,0.0
7144,7144,F36560,5926.0,C,2.0,2021-10-29 18:04:45.553,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-11-02,343.75800000000004,0.0,0.0
7145,7145,F36561,8468.0,E,2.0,2021-11-03 09:39:09.253,2021-11-03,2021-11-03 00:00:00,2021-11-03,,1350.0,0.0,0.0
7146,7146,F36562,8498.0,E,2.0,2021-11-03 09:42:29.063,2021-11-03,2021-11-03 00:00:00,2021-11-03,,347.2875,0.0,0.0
7147,7147,F36563,8497.0,E,1.0,2021-11-03 10:10:35.653,2021-11-03,2021-11-02 00:00:00,2021-11-03,,158.455,0.0,0.0
7148,7148,F36564,4714.0,E,3.0,2021-11-03 10:14:02.213,2021-11-03,2021-11-02 00:00:00,2021-11-03,,3875.2908000000007,0.0,0.0
7149,7149,F36565,3033.0,E,1.0,2021-11-03 10:16:23.907,2021-11-03,2021-11-02 00:00:00,2021-11-03,,851.7993,0.0,0.0
7150,7150,F36566,8229.0,E,2.0,2021-11-03 10:20:01.277,2021-11-03,2021-11-03 00:00:00,2021-11-03,,753.0000000000001,0.0,0.0
7151,7151,F36567,8495.0,E,3.0,2021-11-03 10:29:57.950,2021-11-03,2021-11-02 00:00:00,2021-11-03,,1647.3000000000002,0.0,0.0
7152,7152,F36568,8496.0,C,1.0,2021-11-03 10:31:23.073,2021-11-03,2021-11-02 00:00:00,2021-11-03,2021-11-03,425.00000000000006,0.0,0.0
